slug,aliases,name,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,durationSeconds,tags,benefits,useCases,instructions,commonMistakes,shortDescription,longDescription,posterFile,videoFile
cable-seated-rope-face-pull,,Cable Seated Rope Face Pull,Shoulders,,Cable Machine,Pull,beginner,2.93,cable seated face pull; rear delts; pull day; cable; shoulder health; upper body,Isolates the rear delts in a locked-in seated position.; Reinforces healthy shoulder posture for desk workers and lifters.; Strengthens the small stabilizers around the shoulder blade for joint health.,Shoulder-health modules in coaching platforms; Postural-correction content for office-worker programs; Pull-day accessories in strength training apps; Beginner-friendly seated variations for training tracks,"1. Set the pulley above head height and attach a rope, then sit on a bench facing the cable stack. ; 2. Grip the rope with palms facing each other and arms extended forward at eye level with cable tension. ; 3. Sit tall with feet planted, brace your core, and start with no slack in the cable. ; 4. Pull the rope toward your forehead with elbows flaring wide and high, leading with the upper arms. ; 5. Separate the rope ends and squeeze the rear delts and upper back hard at the end of the pull. ; 6. Slowly let the rope travel back to the start over 2 seconds and repeat for 12 to 20 reps.","Pulling the rope toward the chin or chest, which turns the lift into a row.; Letting the elbows drop, swapping rear-delt work for biceps engagement.; Rounding the upper back as you pull, hiding the mid-back contraction.; Loading too heavy and shrugging the traps up, hiding the rear delts under upper-trap dominance.",A seated rope face pull that removes body english and isolates the rear delts and upper back.,"The cable seated rope face pull is a high-pulley pulling exercise performed sitting on a bench with a rope attachment. The seated position locks out the lower body and prevents users from leaning or rocking, which forces the rear delts and upper back to do all the work. The rope lets the hands separate at the end of the pull for a deeper contraction than a straight bar allows.

For app and content use, this clip is a clean inclusion in any shoulder-health module, postural-correction program, or pull-day accessory block. It's a strong choice for desk-worker and office-mobility tracks where rear-delt strength supports better daily posture. Coaches will use it as a clean teaching piece for beginners who can't hold a stable kneeling face pull yet.",posters/cable-seated-rope-face-pull.webp,cable-seated-rope-face-pull.mp4
cable-side-bend,,Cable Side Bend,Core,,Cable Machine,Core,beginner,7.73,cable side bend; oblique exercise; core day; cable; isolation; midsection,"Builds the obliques with constant cable tension.; Strengthens lateral core control for sport, rotation, and bracing.; Trains each side of the core independently to fix imbalances.",Core-day blocks in fitness apps; Ab-focused training tracks for hypertrophy programs; Athletic-prep modules for rotation-heavy sports; Foundational core education modules for beginners,"1. Set the pulley to the lowest position and attach a single handle, then stand sideways to the cable stack. ; 2. Grip the handle with the hand closest to the stack and stand tall with feet hip-width apart. ; 3. Place your non-working hand on your hip and let the cable pull you slightly toward the stack at the start. ; 4. Bend sideways away from the stack by contracting the obliques on the far side of your body. ; 5. Pause at the end of the bend with a hard oblique squeeze, keeping the hips square and chest tall. ; 6. Return slowly to the start over 2 seconds, then repeat for 12 to 15 reps before switching sides.","Bending forward or backward instead of straight to the side, taking the obliques out of the lift.; Using the arm to pull the cable up, which turns the lift into a one-arm shrug.; Letting the hips shift sideways, which steals load from the obliques.; Rushing the rep and bouncing at the bottom instead of controlling the return phase.","A standing cable side bend that loads the obliques against constant tension for a stronger, more defined waist.","The cable side bend is a standing core exercise performed at a low pulley with a single handle. By bending sideways at the waist against the cable, it loads the obliques directly with constant tension — something a bodyweight side bend can't match. Done one side at a time, it lets each side of the core be trained equally without one dominating.

For app and content use, this clip is a strong fit for core-day blocks, ab-focused training programs, and athletic-prep tracks where lateral core strength supports rotation and bracing. It's also a clean teaching piece for beginners learning to load the obliques in isolation, which makes it useful in foundational core education modules.",posters/cable-side-bend.webp,cable-side-bend.mp4
cable-single-arm-neutral-grip-row,,Cable Single Arm Neutral Grip Row,Back,Biceps,Cable Machine,Pull,beginner,9.33,cable single arm row; horizontal pull; back exercise; cable; lats; upper body,Builds the lats and biceps one side at a time to fix imbalances.; Trains a joint-friendly neutral grip that protects wrists and shoulders.; Reinforces the horizontal pull pattern that balances pressing work.,Pull-day flows in strength training apps; Unilateral training modules for rehab-adjacent programs; Back-focused hypertrophy blocks in coaching platforms; Beginner row-pattern education in fitness apps,"1. Set the cable pulley to chest height and attach a single neutral-grip handle, then grip it with one hand. ; 2. Step back until the cable has tension at full arm extension and stand in a staggered stance. ; 3. Brace your core and place your non-working hand on your hip or a stable surface for support. ; 4. Pull the handle toward your lower ribs, keeping the elbow close to your side and leading with the elbow. ; 5. Squeeze your shoulder blade back and down at the end of the pull, feeling the lat engage. ; 6. Slowly let the handle travel back to full arm extension over 2 to 3 seconds, then repeat for 10 to 15 reps per side.","Rotating the torso to throw the elbow back, which steals load from the lat.; Letting the elbow flare wide, which loads the rear delt instead of the lat.; Shrugging the shoulder up at the end of the pull, swapping lat work for trap engagement.; Snapping the handle back forward and skipping the slow return, where most of the growth lives.",A single-arm cable row with a neutral-grip handle that builds the lats and biceps one side at a time.,"The cable single arm neutral grip row is a unilateral horizontal pulling exercise performed from a chest-height pulley with a single neutral-grip handle. Working one arm at a time exposes side-to-side imbalances that two-handed rows hide, and the neutral grip keeps the wrists and shoulders in a comfortable, joint-friendly position. The non-working hand stays available to brace the body or rest on the hip.

For app and content use, this clip is a strong fit for pull-day programs, back-focused hypertrophy blocks, and rehab-adjacent training tracks where one-sided work is needed to fix asymmetries. It's also a clean teaching piece for beginners learning the row pattern, since the lighter unilateral load makes the contraction easier to feel and control.",posters/cable-single-arm-neutral-grip-row.webp,cable-single-arm-neutral-grip-row.mp4
cable-single-arm-rope-pushdown,,Cable Single Arm Rope Pushdown,Triceps,,Cable Machine,Isolation,beginner,5.07,cable single arm pushdown; triceps exercise; arm day; cable; isolation; upper body,Builds triceps size one side at a time to fix imbalances.; Trains a deeper contraction than a two-handed pushdown allows.; Reinforces stable elbow mechanics for stronger pressing lifts.,Arm-day finishers in strength training apps; Unilateral training modules for rehab-adjacent programs; Trainer Reels and TikToks for clear contraction visuals; Push-day accessory blocks in coaching platforms,"1. Set the pulley to the highest position and attach a rope, then grip one end with one hand using a neutral grip. ; 2. Step close to the stack and tuck your working elbow tight against your ribs with the forearm parallel to the floor. ; 3. Place your non-working hand on your hip and brace your core to keep the torso square to the cable. ; 4. Press the rope end straight down by extending the elbow until the arm is fully locked out. ; 5. Rotate the palm down at the bottom for an extra triceps squeeze, then pause briefly at lockout. ; 6. Let the rope travel back up slowly over 2 seconds and repeat for 10 to 15 reps per side.","Letting the elbow flare forward, turning the lift into a chest-driven press.; Twisting the torso to muscle the rope down, which steals load from the triceps.; Cutting the lockout short, missing the strongest contraction at the bottom.; Bouncing the weight up at the top instead of controlling the return.",A one-arm rope pushdown that isolates each triceps independently for a deeper squeeze and better symmetry.,"The cable single arm rope pushdown is a unilateral triceps isolation exercise performed from a high pulley with a rope attachment. Working one arm at a time lets each triceps be trained through a fuller range of motion than a two-handed pushdown, and the rotation at the bottom of the rep deepens the contraction. It also exposes side-to-side imbalances that two-handed pushdowns hide.

For app and content use, this clip slots cleanly into arm-day finishers, push-day accessory blocks, and rehab-adjacent programs where one-sided work is needed. It's also a sharp visual piece for trainer Reels and TikToks where the isolated contraction reads clearly on camera. Pair with one-arm curl clips for a paired-set unilateral arm-day module.",posters/cable-single-arm-rope-pushdown.webp,cable-single-arm-rope-pushdown.mp4
cable-single-arm-underhand-grip-row,,Cable Single Arm Underhand Grip Row,Back,Biceps,Cable Machine,Pull,beginner,8.8,cable underhand row; lat exercise; pull day; cable; horizontal pull; upper body,Builds the lats with a stronger lower-lat bias from the underhand grip.; Trains one side at a time to expose and fix imbalances.; Engages the biceps more directly for added pull-day arm work.,Pull-day flows in strength training apps; Back-focused hypertrophy blocks in coaching platforms; Lat-development modules for physique training tracks; Unilateral training assets for rehab-adjacent programs,"1. Set the cable pulley to chest height and attach a single handle, then grip it underhand with one hand. ; 2. Step back until the cable has tension at full arm extension and stand in a staggered stance. ; 3. Brace your core and place your non-working hand on your hip or a stable surface for support. ; 4. Pull the handle toward your lower ribs with the elbow tucked tight to your side, palm facing up. ; 5. Squeeze the lat hard at the end of the pull, keeping the chest tall and the shoulder packed down. ; 6. Slowly let the handle travel back to full arm extension over 2 to 3 seconds, then repeat for 10 to 15 reps per side.","Rotating the torso to throw the elbow back, stealing load from the lat.; Letting the elbow flare out wide, which kills the lower-lat focus the underhand grip is meant to create.; Curling the handle toward the shoulder instead of rowing toward the ribs, turning the lift into a biceps curl.; Snapping the handle back forward and skipping the slow return, where most of the growth lives.",A single-arm cable row with an underhand grip that bias the lats and lower lats with deeper biceps engagement.,"The cable single arm underhand grip row is a unilateral horizontal pulling exercise performed from a chest-height pulley with a supinated grip. The underhand grip tucks the elbow tight to the body and biases the lower lats more than a neutral or overhand row. Working one arm at a time exposes side-to-side imbalances that two-handed rows hide.

For app and content use, this clip fits cleanly into pull-day programs, back-focused hypertrophy blocks, and lat-development tracks. It's especially useful in physique-driven programs where developing the lower-lat sweep is a priority. Coaches will reach for it as a unilateral variation to keep back training fresh across long programs.",posters/cable-single-arm-underhand-grip-row.webp,cable-single-arm-underhand-grip-row.mp4
cable-single-leg-laying-leg-curl,,Cable Single Leg Laying Leg Curl,Hamstrings,Calves,Cable Machine,Isolation,beginner,5.6,single leg curl; cable hamstring curl; hamstrings; unilateral; isolation; knee flexion,Trains one hamstring at a time so the stronger leg cannot compensate.; Cable tension stays on the hamstring at full knee flexion.; Useful for spotting and closing side to side strength gaps.,Return to running and post injury program blocks.; Accessory work after deadlift or hinge sessions.; Single leg symmetry testing content in a coaching app.; Hamstring options for facilities that have a cable stack but no dedicated leg curl station.,"1. Attach an ankle cuff to a low pulley and fasten it to one ankle. ; 2. Lie face down on a bench set in front of the stack with your knees at the edge. ; 3. Extend both legs and grip the bench for stability. ; 4. Brace your abs and press your hips into the bench. ; 5. Curl the working heel toward your glutes by bending only at the knee. ; 6. Pause at the top, lower under control, then finish the set and swap legs.","Lifting the hips off the bench, which adds hip flexion and hides a short range.; Letting the cuffed leg drop back down, which throws away the eccentric.; Loading heavy enough to twist the pelvis, so the trunk rotates instead of the knee bending.; Setting the pulley too high, which drags the cuff up the shin and changes the line of pull.",Prone single leg curl with an ankle cuff on a low cable that isolates one hamstring at a time.,"The cable single leg laying leg curl runs an ankle cuff from a low pulley to one ankle while you lie face down with your knees at the edge of a bench. Working one leg at a time stops the stronger side taking over, and the cable keeps pulling the heel away from the glutes through the whole range instead of letting the load fade at the top. The thigh stays flat and only the knee bends, so the hamstrings do the work with the calf assisting at the ankle. Keeping the abs braced stops the hips lifting, which is the usual way a short range gets disguised.

In a library this is the unilateral hamstring clip for cable equipped gyms. It suits return to running and post injury symmetry work, accessory blocks after hinges, and single leg audits inside app-delivered lower body sessions.",posters/cable-single-leg-laying-leg-curl.webp,cable-single-leg-laying-leg-curl.mp4
cable-standing-low-to-high-wood-chopper,,Cable Standing Low To High Wood Chopper,Core,,Cable Machine,Rotation,intermediate,7.2,cable wood chopper; rotational core; core day; cable; obliques; athletic,"Builds rotational power through the obliques and full midsection.; Trains hip-to-shoulder energy transfer used in throwing and striking sports.; Strengthens the core in a standing, sport-relevant pattern.","Athletic-prep modules for rotation-heavy sports; Core-day blocks in strength training apps; Sport-specific programs for golf, baseball, and combat training; Advanced core education modules for coaching platforms","1. Set the pulley to the lowest position and attach a single handle, then stand sideways to the cable stack. ; 2. Grip the handle with both hands and stand with feet shoulder-width apart, knees slightly bent. ; 3. Brace your core and start with the handle near the hip closest to the stack, arms extended. ; 4. Rotate your torso and pull the handle up and across your body to overhead on the opposite side. ; 5. Pivot the back foot and let the hips follow the rotation, finishing with arms extended overhead. ; 6. Reverse the path slowly back to the starting position over 2 to 3 seconds, then repeat for 10 reps per side.","Pulling with the arms instead of rotating from the core, which kills the oblique engagement.; Keeping the feet locked flat, which blocks the hips and forces the lower back to take over the rotation.; Rushing the descent and letting the cable yank the handle back instead of controlling the return.; Loading too heavy and rounding the lower back at the top, which risks spinal strain.",A standing low-to-high cable chop that builds rotational power through the obliques and full midsection.,"The cable standing low-to-high wood chopper is a rotational core exercise performed at a low pulley with a single handle. By driving the cable from hip height up across the body to overhead on the opposite side, it trains the obliques and abs through a powerful diagonal rotation. The pattern mirrors the rotational drive used in throwing, swinging, and striking sports, which makes it a key clip for athletic training.

For app and content use, this clip is a high-impact addition to athletic-prep programs, rotational-sport training tracks, and core-day blocks for general strength apps. It's especially valuable in golf, baseball, hockey, and combat-sport content where rotational power directly transfers to performance. It also works well in advanced core modules for lifters who've outgrown crunches and planks.",posters/cable-standing-low-to-high-wood-chopper.webp,cable-standing-low-to-high-wood-chopper.mp4
cable-standing-single-arm-chest-press,,Cable Standing Single Arm Chest Press,Chest,Shoulders; Triceps,Cable Machine,Push,beginner,6.4,cable single arm chest press; chest exercise; push day; cables; unilateral training; upper body,"Builds unilateral chest, front-shoulder, and triceps strength.; Trains core anti-rotation strength under a real pressing load.; Surfaces and corrects left-right pressing imbalances.",Unilateral push-day blocks in strength apps; Cable and functional training program tracks; Athletic prep modules for rotational sports; Accessory work for hypertrophy coaching platforms,"1. Set the cable pulley to chest height and grip the handle with one hand, palm facing down. ; 2. Step forward into a split stance with the working side back, then square your shoulders and hips to the front. ; 3. Brace your core hard so the cable can't pull your torso into rotation as you start the press. ; 4. Press the handle straight forward until your arm is fully extended, keeping your shoulder pulled back. ; 5. Pause for a beat at full extension, feeling the chest and triceps under tension before reversing. ; 6. Return the handle slowly to your chest under control, then repeat for reps before switching sides.","Letting the torso rotate toward the cable, which dumps the load into the obliques and out of the chest.; Pressing across the body instead of straight forward, shortening the range and reducing chest work.; Standing too close to the stack so the cable goes slack at the start of the rep, killing tension.; Shrugging the shoulder up at full extension instead of keeping the shoulder blade pinned down.","A standing one-arm cable press that trains the chest, front delts, and triceps while exposing side-to-side strength gaps.","The cable standing single-arm chest press is a unilateral pressing variation that loads the chest, front shoulder, and triceps while forcing the core to resist rotation. Working one side at a time exposes left-right strength differences and trains the trunk to stay square against an off-center load.

For app builders, this is a strong accessory pick to round out cable and functional-training tracks. Drop it into push-day workouts that already cover the bench press, into anti-rotation core blocks, or into athletic prep programs where unilateral pressing carries directly into sport. It teaches bracing in a way bilateral presses never will.",posters/cable-standing-single-arm-chest-press.webp,cable-standing-single-arm-chest-press.mp4
cable-supinating-row,,Cable Supinating Row,Back,Shoulders,Cable Machine,Pull,beginner,9.87,cable supinating row; back exercise; pull day; cables; lats; upper body,Builds the lats and biceps together with a strong end-range squeeze.; Adds detail and volume to horizontal pulling work in any back program.; Trains the rotated-grip pattern that mirrors chin-up and curl positions.,Pull-day and back-detail blocks in hypertrophy apps; Intermediate strength training tracks for coaching platforms; Cable-machine workout modules in gym-equipment programs; Educational content on row variations for trainers,"1. Attach two single-handle attachments to a low cable pulley and grip them with palms facing each other. ; 2. Step back until the cables have full tension and stand tall with a slight knee bend and braced trunk. ; 3. Pull both handles toward your ribs while rotating your wrists so your palms finish facing up at the top. ; 4. Squeeze your shoulder blades together at the end of the pull, feeling the lats and biceps light up. ; 5. Pause briefly with the elbows behind your torso, then begin reversing under control. ; 6. Rotate the palms back to neutral as your arms straighten, fighting the cable the whole way out.","Skipping the wrist rotation and rowing with a fixed grip, which loses the extra biceps and lat finish.; Leaning back to use bodyweight instead of pulling cleanly with the back muscles.; Letting the elbows drift wide so the rear delts take over and the lats stop working.; Snapping back to the start position and skipping the slow return where most growth tension lives.",A horizontal cable row that rotates the palms up at the finish to load the lats and biceps in the same pull.,"The cable supinating row is a horizontal pull where the hands rotate from a neutral or overhand grip into palms-up at the end of the row. That twist deepens the lat contraction and pulls the biceps into the lift, blending a back row and a curl-style finish in one rep.

It's a useful inclusion for hypertrophy-focused programs and intermediate pull-day tracks where users want more from each set. Coaches and creators can use the clip to teach the supination cue cleanly — the rotation reads better in 3D than it does in a still photo, which makes it a strong asset for back-detail content.",posters/cable-supinating-row.webp,cable-supinating-row.mp4
cable-wood-chopper,,Cable Wood Chopper,Core,,Cable Machine,Rotation,beginner,8,cable wood chopper; obliques; core exercise; cables; rotational power; athletic training,"Builds rotational power through the obliques and trunk.; Trains the core to transfer force between hips and shoulders.; Carries directly into golf, tennis, throwing, and striking sports.","Rotational core blocks in strength training apps; Athletic prep programs for golf, tennis, and combat sports; Functional fitness modules in coaching platforms; Core and conditioning content for trainers and creators","1. Anchor the cable at the highest pulley setting and grip the handle with both hands above one shoulder. ; 2. Step out into a wide, athletic stance with feet planted and your knees softly bent. ; 3. Brace your core, then pull the handle down and across your body toward the opposite hip. ; 4. Drive the rotation with your trunk, letting your back foot pivot naturally as your hips turn. ; 5. Pause for a beat at the bottom with arms straight and core locked, feeling the obliques under load. ; 6. Return the handle slowly back to the start position above your shoulder, then repeat for reps.","Pulling with the arms instead of rotating through the trunk, which removes the obliques from the lift.; Letting the hips stay locked so all the motion happens at the lower back, risking strain.; Using too much weight and yanking the cable, which trades clean rotation for momentum.; Standing too close to the stack so the cable loses tension at the top of every rep.",A diagonal cable rotation that trains the obliques to drive force from a high anchor down across the body.,"The cable wood chopper is the go-to rotational core exercise. With the cable anchored high and the handle pulled down across the body, the obliques generate the rotation while the rest of the trunk stays braced. It mirrors the swing, throw, and chop patterns athletes use in real sports.

For any app or platform with an athletic-prep, golf, tennis, or combat-sport audience, this clip is a must. It also fits cleanly into rotational core blocks inside general strength programs and into mobility-meets-strength tracks where users are trying to wake up the trunk. Easy to teach, hard to fake — a clean 3D angle helps both.",posters/cable-wood-chopper.webp,cable-wood-chopper.mp4
cable-wrist-curl,,Cable Wrist Curl,Forearms,,Cable Machine,Isolation,beginner,8.53,cable wrist curl; wrist curl; forearms; grip strength; wrist flexion; isolation,"Isolates wrist flexion, which most pulling exercises never train directly.; Builds the forearm flexors that close the grip on bars and handles.; Cable tension stays even across a very short range of motion.","Grip and forearm accessory blocks in a training app.; Climbing, racket sport and combat sport program tracks.; Elbow and wrist rehab content in coaching platforms.; Forearm filtered library entries in an exercise browser.","1. Attach a straight bar to a low pulley and set a light weight. ; 2. Sit on a bench facing the stack with your feet about shoulder width apart. ; 3. Grip the bar underhand at shoulder width and rest your elbows on your inner thighs. ; 4. Let the bar drop by bending only at the wrists, allowing it to roll toward your fingers. ; 5. Close your grip and curl your wrists upward, squeezing the forearms at the top. ; 6. Pause briefly, then lower under control and repeat for reps.","Loading too heavy, which turns the rep into an elbow curl and hides the wrist range.; Lifting the elbows off the thighs, so the forearms move and the wrists stay locked.; Skipping the roll to the fingers, which leaves out the grip closing part of the movement.; Bouncing at the bottom, which loads the wrist joint rather than the flexors.",Seated cable wrist curl with the forearms braced that isolates wrist flexion and builds grip strength.,"The cable wrist curl braces the forearms against the thighs or a bench with a bar held underhand from a low pulley, so the only joint that moves is the wrist. Letting the bar roll toward the fingertips at the bottom and then closing the hand and flexing the wrist trains the forearm flexors that both bend the wrist and shut the grip. The cable holds a steady pull at every point in that short travel, which matters because the range itself is only a few inches. Light weight and a deliberate pause at the top do far more here than heavy loading.

For a library this is the dedicated forearm clip most catalogs skip. It fits grip and forearm accessory blocks, climbing and racket sport programs, and elbow rehab content where controlled wrist flexion is the whole point.",posters/cable-wrist-curl.webp,cable-wrist-curl.mp4
captains-chair-knee-raise,,Captain's Chair Knee Raise,Core,,Bodyweight,Core,beginner,8.8,knee raise; captains chair; abs; core; hanging; gym station,"Ranked first for oblique activation and second for rectus abdominis activation in electromyography testing across thirteen abdominal movements.; Supports the back and forearms, so grip strength does not limit the set the way it does when hanging from a bar.; Progresses simply by moving from bent knees to straight legs without changing the setup.",Gym-floor core option in app builders that can assume station access.; Power tower and captain's chair station onboarding content.; Evidence-led editorial comparing abdominal exercise effectiveness.; Progression ladders that lead from knee raises to straight leg raises.,"1. Step into a captain's chair station and place your forearms on the pads with your back against the rest. ; 2. Grip the handles, let your legs hang straight down and take the weight off your feet. ; 3. Brace your abdominals and press your lower back lightly into the pad. ; 4. Raise both knees toward your chest, finishing the rep by curling the pelvis upward. ; 5. Pause at the top with the abdominals fully shortened. ; 6. Lower the legs slowly back to a straight hang and repeat without swinging.","Swinging the legs up with momentum, which lets the hip flexors do the work the abdominals should do.; Stopping at hip height without tilting the pelvis, which leaves the rectus abdominis barely loaded.; Dropping the legs at the end of the rep, which throws away the eccentric and stresses the low back.; Shrugging into the shoulder pads, which loads the neck and traps instead of the trunk.","A supported hanging knee raise from a captain's chair station, curling the pelvis to load the abdominals directly.","The captain's chair knee raise is performed in a padded upright station with the forearms on the pads and the back against the rest, so the trunk is supported and the legs hang free. Raising the knees toward the chest flexes the hips, and finishing the rep by curling the pelvis is what shifts the work from the hip flexors onto the abdominals. Electromyography testing across thirteen abdominal exercises ranked the captain's chair first for oblique activation and second for rectus abdominis activation.

For a product catalog this clip covers a gym-floor movement that home-only libraries miss. It fits abdominal blocks in app programs, power tower onboarding content, and editorial comparing abdominal exercises.",posters/captains-chair-knee-raise.webp,captains-chair-knee-raise.mp4
chest-supported-dumbbell-row,,Chest-Supported Dumbbell Row,Back; Trapezius,Biceps; Shoulders,Dumbbell,Pull,beginner,7.2,dumbbell row; chest supported; back; upper back; incline bench; horizontal pull,Rows heavy loads without stressing the lower back.; Chest support removes momentum so each rep stays strict.; Neutral grip is comfortable for shoulders and wrists.,Back hypertrophy blocks that need high rep volume without spinal fatigue.; Lower back friendly swap when a bent over row is off the table.; Paired pulling clip for incline press supersets.; Beginner rowing option that stays safe to coach remotely.,1. Set an adjustable bench to roughly 45 degrees and pick up two dumbbells. ; 2. Lie face down on the pad with your chest supported and your arms hanging. ; 3. Hold the dumbbells with palms facing each other and neutral wrists. ; 4. Retract your shoulder blades and pull your elbows behind your body. ; 5. Stop when your elbows reach or just pass the line of your torso. ; 6. Lower the dumbbells slowly to full arm extension and repeat.,"Peeling the chest off the pad to add range, which reintroduces the back extension you removed.; Swinging the dumbbells up, so the pull comes from momentum rather than muscle.; Shrugging the shoulders toward the ears instead of retracting the blades.; Squeezing the handles hard with a full grip, which lets the biceps take over the pull.",A prone incline dumbbell row that removes the hinge so the mid back and lats work without lower back load.,"Lying face down on a bench set near 45 degrees takes the hip hinge and the spinal bracing out of a dumbbell row. From a neutral grip with the dumbbells hanging, you retract the shoulder blades and drive the elbows behind the torso until they reach or just pass the midline. Because the chest is fixed against the pad, momentum is hard to generate, so the mid trapezius, rhomboids and lats absorb the load while the biceps and rear delts assist.

This clip is useful anywhere lower back load is a constraint: rehab-adjacent programs, high-volume hypertrophy blocks, and beginner flows where a free bent over row is still too demanding to coach remotely. It also fits dumbbell-only equipment filters, and it works well as the paired row in an incline press superset inside an app.",posters/chest-supported-dumbbell-row.webp,chest-supported-dumbbell-row.mp4
chest-supported-t-bar-row,,Chest-Supported T-Bar Row,Back; Trapezius,Biceps; Shoulders,Machine,Pull,beginner,9.33,t-bar row; chest supported; machine row; back; upper back; horizontal pull,Strict heavy rowing with no hinge or bracing requirement.; Fixed path keeps the elbow line consistent rep to rep.; Neutral and overhand grips both train the mid back.,Machine filter for commercial gyms that own a chest-supported row station.; Heavy row slot in back day templates.; Exercise swap list for members avoiding spinal loading.; Form-cue overlay content on elbow path and scapular retraction.,1. Load plates onto the T-bar row post and set the chest pad height. ; 2. Lie chest down on the pad with your feet flat on the platform. ; 3. Take the handles with a neutral or overhand grip and straighten your arms. ; 4. Brace your abdominals and pull your shoulder blades together. ; 5. Row the handles back until your elbows pass the line of your torso. ; 6. Lower the load under control to a full stretch and repeat.,"Pushing the chest off the pad to finish the rep, which loads the lumbar spine.; Cutting the range short at the bottom, so the lats never reach full stretch.; Leading with the hands instead of the elbows, which shifts work to the biceps.; Choosing a load that forces jerky partial reps, which trains momentum not the back.","A plate-loaded T-bar row taken from a prone chest pad, so the mid back and lats pull without a free hinge.","The chest supported T-bar row fixes your torso against an angled pad while the loading arm travels on a single pivot. You take a neutral or pronated grip, retract the shoulder blades and drive the elbows behind the body until they reach or pass the torso line, then lower to full extension. The pad removes the isometric hinge demand of a free-standing T-bar row, so here the latissimus dorsi, mid trapezius and rhomboids handle the load with the biceps and rear delts assisting.

For an asset library this is the machine counterpart to the chest supported dumbbell row and it covers a station most commercial gyms have. It fits machine equipment filters, back day templates that need one strict heavy row, and swap lists for members who should not load a hinge.",posters/chest-supported-t-bar-row.webp,chest-supported-t-bar-row.mp4
chin-ups,,Chin Ups,Back,Biceps,Bodyweight,Pull,intermediate,5.87,chin ups; vertical pull; back exercise; biceps; bodyweight; pull day,"Builds the lats, biceps, and grip with one bodyweight movement.; Develops relative strength that transfers to climbing, sport, and lifting.; Trains the vertical pull pattern that balances out pressing work.","Pull-day workout flows in strength training apps; Calisthenics and bodyweight program tracks; Beginner-to-advanced upper-body progression modules; Hero clips for back, biceps, and pull-up content","1. Reach up and grip the bar with palms facing you, hands about shoulder-width apart. ; 2. Hang at full arm extension with the shoulders pulled down away from the ears and the core braced. ; 3. Pull yourself up by driving the elbows down toward your ribs, leading with the chest. ; 4. Continue the pull until your chin clears the bar and your upper chest is close to the bar. ; 5. Pause for a beat at the top, squeezing the back and biceps without swinging. ; 6. Lower yourself slowly to a full hang over 2 to 3 seconds, then repeat for reps.","Kipping or swinging the legs to generate momentum instead of pulling cleanly with the back and arms.; Cutting the range short by stopping before the chin clears the bar or skipping the full hang at the bottom.; Shrugging the shoulders up at the start so the traps take over and the lats never engage.; Dropping fast at the bottom and skipping the slow lowering phase, where most of the strength gains happen.","A vertical bodyweight pull with palms facing you that builds the lats, biceps, and grip in one of the most honest strength tests there is.","The chin up is the benchmark vertical pulling exercise. With an underhand grip, you pull your full bodyweight up until your chin clears the bar — loading the lats heavily while bringing the biceps in as a major mover. It's one of the cleanest tests of relative upper-body strength in any program.

This clip earns a permanent spot in any strength app's core library. It's the natural pair to the bench press on any push-and-pull split, and it shows up in calisthenics, beginner-strength, and athletic-prep programs alike. App builders and creators can use it as a hero clip for back content where a generic lat pulldown wouldn't carry the same weight.",posters/chin-ups.webp,chin-ups.mp4
close-grip-barbell-curl,,Close-Grip Barbell Curl,Biceps,Forearms,Barbell,Isolation,beginner,6.13,close grip barbell curl; barbell curl; biceps; forearms; isolation; grip width,"Trains elbow flexion with a fixed grip width that is easy to repeat session to session.; The narrow grip shifts emphasis toward the outer part of the biceps.; A bar allows small load jumps, so progression is simple to track.",Arm day templates in a strength training app.; Barbell-only program tracks for home gyms.; Grip width comparison content for coaches.; Barbell filtered library entries in an exercise browser.,"1. Load a straight barbell and stand with your feet about hip width apart. ; 2. Take an underhand grip with your hands inside shoulder width. ; 3. Stand tall with the bar at arms length and your elbows at your sides. ; 4. Brace your abs and curl the bar toward your shoulders. ; 5. Squeeze the biceps at the top without letting the elbows travel forward. ; 6. Lower under control, stopping just short of a locked elbow, then repeat.","Swinging the hips to start the bar moving, which takes load off the biceps.; Letting the elbows drift back behind the torso, which shortens the working range.; Gripping so narrow that the wrists ache, which limits load before the biceps are trained.; Dropping the bar quickly, which skips the eccentric where much of the stimulus sits.","Standing barbell curl with the hands set inside shoulder width, shifting emphasis toward the outer biceps.","The close-grip barbell curl loads a straight bar with the hands narrower than shoulder width and the palms facing up. Narrowing the grip rotates the upper arms slightly outward, and the standard coaching claim is that it biases the outer or long head of the biceps compared with a wide grip. Both heads still work, so treat the difference as a shift in emphasis rather than a separate exercise. Keep the elbows pinned at your sides, stop the chest and hips helping, and hold a small bend at the bottom so tension never fully leaves the arm.

As an asset this covers the grip width variation of the barbell curl that libraries usually reduce to a single clip. It fits arm day templates, progressive overload tracks built around a bar, and side by side content on how grip width changes a curl.",posters/close-grip-barbell-curl.webp,close-grip-barbell-curl.mp4
